"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Loop 1_Conductivity";"14.03.2022 15:56:12";0;1;44634664022,5926
"Loop 2_Conductivity";"14.03.2022 15:56:12";0;1;44634664022,5926
"Loop 3_Conductivity";"14.03.2022 15:56:12";424,8226;1;44634664022,5926
"Loop 1_Conductivity";"14.03.2022 16:01:12";0;1;44634667496,2153
"Loop 2_Conductivity";"14.03.2022 16:01:12";426,9935;1;44634667496,2153
"Loop 3_Conductivity";"14.03.2022 16:01:12";432,8203;1;44634667496,2153
"Loop 1_Conductivity";"14.03.2022 16:06:12";0;1;44634670968,125
"Loop 2_Conductivity";"14.03.2022 16:06:12";433,9113;1;44634670968,125
"Loop 3_Conductivity";"14.03.2022 16:06:12";432,5284;1;44634670968,125
"Loop 1_Conductivity";"14.03.2022 16:11:12";0;1;44634674440,0231
"Loop 2_Conductivity";"14.03.2022 16:11:12";434,6996;1;44634674440,0231
"Loop 3_Conductivity";"14.03.2022 16:11:12";433,3405;1;44634674440,0231
"Loop 1_Conductivity";"14.03.2022 16:16:12";0;1;44634677911,9213
"Loop 2_Conductivity";"14.03.2022 16:16:12";434,9295;1;44634677911,9213
"Loop 3_Conductivity";"14.03.2022 16:16:12";431,6028;1;44634677911,9213
"Loop 1_Conductivity";"14.03.2022 16:21:12";0;1;44634681384,9884
"Loop 2_Conductivity";"14.03.2022 16:21:12";435,3565;1;44634681384,9884
"Loop 3_Conductivity";"14.03.2022 16:21:12";433,1175;1;44634681384,9884
"Loop 1_Conductivity";"14.03.2022 16:26:12";0;1;44634684856,8866
"Loop 2_Conductivity";"14.03.2022 16:26:12";435,4331;1;44634684856,8866
"Loop 3_Conductivity";"14.03.2022 16:26:12";432,6464;1;44634684856,8866
"Loop 1_Conductivity";"14.03.2022 16:31:12";0;1;44634688328,8079
"Loop 2_Conductivity";"14.03.2022 16:31:12";434,4976;1;44634688328,8079
"Loop 3_Conductivity";"14.03.2022 16:31:12";431,901;1;44634688328,8079
"Loop 1_Conductivity";"14.03.2022 16:36:12";0;1;44634691801,875
"Loop 2_Conductivity";"14.03.2022 16:36:12";433,8183;1;44634691801,875
"Loop 3_Conductivity";"14.03.2022 16:36:12";432,9686;1;44634691801,875
"Loop 1_Conductivity";"14.03.2022 16:41:12";0;1;44634695273,7731
"Loop 2_Conductivity";"14.03.2022 16:41:12";433,7029;1;44634695273,7731
"Loop 3_Conductivity";"14.03.2022 16:41:12";431,9331;1;44634695273,7731
"Loop 1_Conductivity";"14.03.2022 16:46:12";0;1;44634698745,6945
"Loop 2_Conductivity";"14.03.2022 16:46:12";434,417;1;44634698745,6945
"Loop 3_Conductivity";"14.03.2022 16:46:12";431,2275;1;44634698745,6945
"Loop 1_Conductivity";"14.03.2022 16:51:12";0;1;44634702217,5926
"Loop 2_Conductivity";"14.03.2022 16:51:12";434,4022;1;44634702217,5926
"Loop 3_Conductivity";"14.03.2022 16:51:12";431,6908;1;44634702217,5926
"Loop 1_Conductivity";"14.03.2022 16:56:12";0;1;44634705690,6597
"Loop 2_Conductivity";"14.03.2022 16:56:12";434,7464;1;44634705690,6597
"Loop 3_Conductivity";"14.03.2022 16:56:12";431,0306;1;44634705690,6597
"Loop 1_Conductivity";"14.03.2022 17:01:11";0;1;44634709155,2431
"Loop 2_Conductivity";"14.03.2022 17:01:11";433,5311;1;44634709155,2431
"Loop 3_Conductivity";"14.03.2022 17:01:11";431,4573;1;44634709155,2546
"Loop 1_Conductivity";"14.03.2022 17:06:11";0;1;44634712627,2222
"Loop 2_Conductivity";"14.03.2022 17:06:11";429,5143;1;44634712627,2222
"Loop 3_Conductivity";"14.03.2022 17:06:11";426,9101;1;44634712627,2222
"Loop 1_Conductivity";"14.03.2022 17:11:11";0;1;44634716099,9537
"Loop 2_Conductivity";"14.03.2022 17:11:11";427,3404;1;44634716099,9537
"Loop 3_Conductivity";"14.03.2022 17:11:11";425,1523;1;44634716099,9537
"Loop 1_Conductivity";"14.03.2022 17:16:11";416,7014;1;44634719571,8519
"Loop 2_Conductivity";"14.03.2022 17:16:11";435,261;1;44634719571,8519
"Loop 3_Conductivity";"14.03.2022 17:16:11";426,7551;1;44634719571,8519
"Loop 1_Conductivity";"14.03.2022 17:21:11";430,4514;1;44634723043,7616
"Loop 2_Conductivity";"14.03.2022 17:21:11";0;1;44634723043,7616
"Loop 3_Conductivity";"14.03.2022 17:21:11";430,6054;1;44634723043,7616
"Loop 1_Conductivity";"14.03.2022 17:26:11";431,372;1;44634726515,6829
"Loop 2_Conductivity";"14.03.2022 17:26:11";0;1;44634726515,6829
"Loop 3_Conductivity";"14.03.2022 17:26:11";71,1898;1;44634726515,6829
"Loop 1_Conductivity";"14.03.2022 17:31:11";431,8734;1;44634729988,75
"Loop 2_Conductivity";"14.03.2022 17:31:11";0;1;44634729988,75
"Loop 3_Conductivity";"14.03.2022 17:31:11";12,05373;1;44634729988,75
"Loop 1_Conductivity";"14.03.2022 17:36:11";429,4879;1;44634733460,6597
"Loop 2_Conductivity";"14.03.2022 17:36:11";0;1;44634733460,6597
"Loop 3_Conductivity";"14.03.2022 17:36:11";0;1;44634733460,6597
"Loop 1_Conductivity";"14.03.2022 17:41:11";0;1;44634736932,5579
"Loop 2_Conductivity";"14.03.2022 17:41:11";0;1;44634736932,5579
"Loop 3_Conductivity";"14.03.2022 17:41:11";0;1;44634736932,5579
"Loop 1_Conductivity";"14.03.2022 17:46:11";0;1;44634740405,625
"Loop 2_Conductivity";"14.03.2022 17:46:11";0;1;44634740405,625
"Loop 3_Conductivity";"14.03.2022 17:46:11";0;1;44634740405,625
"Loop 1_Conductivity";"14.03.2022 17:51:11";0;1;44634743877,5231
"Loop 2_Conductivity";"14.03.2022 17:51:11";0;1;44634743877,5231
"Loop 3_Conductivity";"14.03.2022 17:51:11";0;1;44634743877,5231
"Loop 1_Conductivity";"14.03.2022 17:56:11";0;1;44634747349,4213
"Loop 2_Conductivity";"14.03.2022 17:56:11";0;1;44634747349,4213
"Loop 3_Conductivity";"14.03.2022 17:56:11";0;1;44634747349,4213
"Loop 1_Conductivity";"14.03.2022 18:01:11";0;1;44634750825,6134
"Loop 2_Conductivity";"14.03.2022 18:01:11";0;1;44634750825,6134
"Loop 3_Conductivity";"14.03.2022 18:01:11";0;1;44634750825,6134
"Loop 1_Conductivity";"14.03.2022 18:06:11";0;1;44634754298,6806
"Loop 2_Conductivity";"14.03.2022 18:06:11";0;1;44634754298,6806
"Loop 3_Conductivity";"14.03.2022 18:06:11";0;1;44634754298,6806
"Loop 1_Conductivity";"14.03.2022 18:11:11";0;1;44634757770,5787
"Loop 2_Conductivity";"14.03.2022 18:11:11";0;1;44634757770,5787
"Loop 3_Conductivity";"14.03.2022 18:11:11";0;1;44634757770,5787
"Loop 1_Conductivity";"14.03.2022 18:16:11";0;1;44634761242,4769
"Loop 2_Conductivity";"14.03.2022 18:16:11";0;1;44634761242,4769
"Loop 3_Conductivity";"14.03.2022 18:16:11";0;1;44634761242,4769
"Loop 1_Conductivity";"14.03.2022 18:21:11";0;1;44634764714,3866
"Loop 2_Conductivity";"14.03.2022 18:21:11";0;1;44634764714,3866
"Loop 3_Conductivity";"14.03.2022 18:21:11";0;1;44634764714,3866
"Loop 1_Conductivity";"14.03.2022 18:26:11";0;1;44634768187,4537
"Loop 2_Conductivity";"14.03.2022 18:26:11";0;1;44634768187,4537
"Loop 3_Conductivity";"14.03.2022 18:26:11";0;1;44634768187,4537
"Loop 1_Conductivity";"14.03.2022 18:31:11";0;1;44634771659,3519
"Loop 2_Conductivity";"14.03.2022 18:31:11";0;1;44634771659,3519
"Loop 3_Conductivity";"14.03.2022 18:31:11";0;1;44634771659,3519
"Loop 1_Conductivity";"14.03.2022 18:36:11";0;1;44634775131,25
"Loop 2_Conductivity";"14.03.2022 18:36:11";0;1;44634775131,25
"Loop 3_Conductivity";"14.03.2022 18:36:11";0;1;44634775131,25
