"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Loop 1_Flow";"14.03.2022 15:56:12";0;1;44634664022,5926
"Loop 2_Flow";"14.03.2022 15:56:12";0;1;44634664022,5926
"Loop 3_Flow";"14.03.2022 15:56:12";115,8009;1;44634664022,5926
"Loop 1_Flow";"14.03.2022 16:01:12";0;1;44634667496,2037
"Loop 2_Flow";"14.03.2022 16:01:12";121,1812;1;44634667496,2153
"Loop 3_Flow";"14.03.2022 16:01:12";108,8817;1;44634667496,2153
"Loop 1_Flow";"14.03.2022 16:06:12";0;1;44634670968,1134
"Loop 2_Flow";"14.03.2022 16:06:12";115,4169;1;44634670968,125
"Loop 3_Flow";"14.03.2022 16:06:12";108,8717;1;44634670968,125
"Loop 1_Flow";"14.03.2022 16:11:12";0;1;44634674440,0116
"Loop 2_Flow";"14.03.2022 16:11:12";116,9857;1;44634674440,0231
"Loop 3_Flow";"14.03.2022 16:11:12";107,5361;1;44634674440,0231
"Loop 1_Flow";"14.03.2022 16:16:12";0;1;44634677911,9213
"Loop 2_Flow";"14.03.2022 16:16:12";117,0087;1;44634677911,9213
"Loop 3_Flow";"14.03.2022 16:16:12";108,5393;1;44634677911,9213
"Loop 1_Flow";"14.03.2022 16:21:12";0;1;44634681384,9769
"Loop 2_Flow";"14.03.2022 16:21:12";116,5616;1;44634681384,9884
"Loop 3_Flow";"14.03.2022 16:21:12";108,5241;1;44634681384,9884
"Loop 1_Flow";"14.03.2022 16:26:12";0;1;44634684856,8866
"Loop 2_Flow";"14.03.2022 16:26:12";115,7304;1;44634684856,8866
"Loop 3_Flow";"14.03.2022 16:26:12";108,9358;1;44634684856,8866
"Loop 1_Flow";"14.03.2022 16:31:12";0;1;44634688328,8079
"Loop 2_Flow";"14.03.2022 16:31:12";116,9671;1;44634688328,8079
"Loop 3_Flow";"14.03.2022 16:31:12";108,317;1;44634688328,8079
"Loop 1_Flow";"14.03.2022 16:36:12";0;1;44634691801,8634
"Loop 2_Flow";"14.03.2022 16:36:12";116,3441;1;44634691801,875
"Loop 3_Flow";"14.03.2022 16:36:12";108,1899;1;44634691801,875
"Loop 1_Flow";"14.03.2022 16:41:12";0;1;44634695273,7616
"Loop 2_Flow";"14.03.2022 16:41:12";116,28;1;44634695273,7731
"Loop 3_Flow";"14.03.2022 16:41:12";108,9779;1;44634695273,7731
"Loop 1_Flow";"14.03.2022 16:46:12";0;1;44634698745,6829
"Loop 2_Flow";"14.03.2022 16:46:12";117,5503;1;44634698745,6945
"Loop 3_Flow";"14.03.2022 16:46:12";108,9722;1;44634698745,6945
"Loop 1_Flow";"14.03.2022 16:51:12";0;1;44634702217,5926
"Loop 2_Flow";"14.03.2022 16:51:12";116,6193;1;44634702217,5926
"Loop 3_Flow";"14.03.2022 16:51:12";108,7821;1;44634702217,5926
"Loop 1_Flow";"14.03.2022 16:56:12";0;1;44634705690,6482
"Loop 2_Flow";"14.03.2022 16:56:12";116,4546;1;44634705690,6597
"Loop 3_Flow";"14.03.2022 16:56:12";108,9951;1;44634705690,6597
"Loop 1_Flow";"14.03.2022 17:01:11";0;1;44634709155,2315
"Loop 2_Flow";"14.03.2022 17:01:11";116,9534;1;44634709155,2431
"Loop 3_Flow";"14.03.2022 17:01:11";108,0382;1;44634709155,2431
"Loop 1_Flow";"14.03.2022 17:06:11";0;1;44634712627,2106
"Loop 2_Flow";"14.03.2022 17:06:11";0;1;44634712627,2222
"Loop 3_Flow";"14.03.2022 17:06:11";0;1;44634712627,2222
"Loop 1_Flow";"14.03.2022 17:11:11";0;1;44634716099,9537
"Loop 2_Flow";"14.03.2022 17:11:11";0;1;44634716099,9537
"Loop 3_Flow";"14.03.2022 17:11:11";0;1;44634716099,9537
"Loop 1_Flow";"14.03.2022 17:16:11";71,13605;1;44634719571,8403
"Loop 2_Flow";"14.03.2022 17:16:11";-134,2124;1;44634719571,8519
"Loop 3_Flow";"14.03.2022 17:16:11";0;1;44634719571,8519
"Loop 1_Flow";"14.03.2022 17:21:11";149,7593;1;44634723043,7616
"Loop 2_Flow";"14.03.2022 17:21:11";0;1;44634723043,7616
"Loop 3_Flow";"14.03.2022 17:21:11";-153,3989;1;44634723043,7616
"Loop 1_Flow";"14.03.2022 17:26:11";150,1649;1;44634726515,6713
"Loop 2_Flow";"14.03.2022 17:26:11";0;1;44634726515,6829
"Loop 3_Flow";"14.03.2022 17:26:11";-5,975339;1;44634726515,6829
"Loop 1_Flow";"14.03.2022 17:31:11";150,3686;1;44634729988,7384
"Loop 2_Flow";"14.03.2022 17:31:11";0;1;44634729988,75
"Loop 3_Flow";"14.03.2022 17:31:11";0;1;44634729988,75
"Loop 1_Flow";"14.03.2022 17:36:11";-22,26784;1;44634733460,6481
"Loop 2_Flow";"14.03.2022 17:36:11";0;1;44634733460,6597
"Loop 3_Flow";"14.03.2022 17:36:11";0;1;44634733460,6597
"Loop 1_Flow";"14.03.2022 17:41:11";0;1;44634736932,5579
"Loop 2_Flow";"14.03.2022 17:41:11";0;1;44634736932,5579
"Loop 3_Flow";"14.03.2022 17:41:11";0;1;44634736932,5579
"Loop 1_Flow";"14.03.2022 17:46:11";0;1;44634740405,625
"Loop 2_Flow";"14.03.2022 17:46:11";0;1;44634740405,625
"Loop 3_Flow";"14.03.2022 17:46:11";0;1;44634740405,625
"Loop 1_Flow";"14.03.2022 17:51:11";0;1;44634743877,5116
"Loop 2_Flow";"14.03.2022 17:51:11";0;1;44634743877,5231
"Loop 3_Flow";"14.03.2022 17:51:11";0;1;44634743877,5231
"Loop 1_Flow";"14.03.2022 17:56:11";0;1;44634747349,4097
"Loop 2_Flow";"14.03.2022 17:56:11";0;1;44634747349,4213
"Loop 3_Flow";"14.03.2022 17:56:11";0;1;44634747349,4213
"Loop 1_Flow";"14.03.2022 18:01:11";0;1;44634750825,6134
"Loop 2_Flow";"14.03.2022 18:01:11";0;1;44634750825,6134
"Loop 3_Flow";"14.03.2022 18:01:11";0;1;44634750825,6134
"Loop 1_Flow";"14.03.2022 18:06:11";0;1;44634754298,669
"Loop 2_Flow";"14.03.2022 18:06:11";0;1;44634754298,6806
"Loop 3_Flow";"14.03.2022 18:06:11";0;1;44634754298,6806
"Loop 1_Flow";"14.03.2022 18:11:11";0;1;44634757770,5787
"Loop 2_Flow";"14.03.2022 18:11:11";0;1;44634757770,5787
"Loop 3_Flow";"14.03.2022 18:11:11";0;1;44634757770,5787
"Loop 1_Flow";"14.03.2022 18:16:11";0;1;44634761242,4653
"Loop 2_Flow";"14.03.2022 18:16:11";0;1;44634761242,4769
"Loop 3_Flow";"14.03.2022 18:16:11";0;1;44634761242,4769
"Loop 1_Flow";"14.03.2022 18:21:11";0;1;44634764714,3866
"Loop 2_Flow";"14.03.2022 18:21:11";0;1;44634764714,3866
"Loop 3_Flow";"14.03.2022 18:21:11";0;1;44634764714,3866
"Loop 1_Flow";"14.03.2022 18:26:11";0;1;44634768187,4421
"Loop 2_Flow";"14.03.2022 18:26:11";0;1;44634768187,4537
"Loop 3_Flow";"14.03.2022 18:26:11";0;1;44634768187,4537
"Loop 1_Flow";"14.03.2022 18:31:11";0;1;44634771659,3519
"Loop 2_Flow";"14.03.2022 18:31:11";0;1;44634771659,3519
"Loop 3_Flow";"14.03.2022 18:31:11";0;1;44634771659,3519
"Loop 1_Flow";"14.03.2022 18:36:11";0;1;44634775131,2384
"Loop 2_Flow";"14.03.2022 18:36:11";0;1;44634775131,25
"Loop 3_Flow";"14.03.2022 18:36:11";0;1;44634775131,25
"Loop 1_Flow";"14.03.2022 18:41:11";0;1;44634778604,3171
"Loop 2_Flow";"14.03.2022 18:41:11";0;1;44634778604,3287
"Loop 3_Flow";"14.03.2022 18:41:11";0;1;44634778604,3287
"Loop 1_Flow";"14.03.2022 18:46:11";0;1;44634782076,2153
"Loop 2_Flow";"14.03.2022 18:46:11";0;1;44634782076,2269
"Loop 3_Flow";"14.03.2022 18:46:11";0;1;44634782076,2269
"Loop 1_Flow";"14.03.2022 18:51:11";0;1;44634785548,125
"Loop 2_Flow";"14.03.2022 18:51:11";0;1;44634785548,125
"Loop 3_Flow";"14.03.2022 18:51:11";0;1;44634785548,125
"Loop 1_Flow";"14.03.2022 18:56:11";0;1;44634789020,0231
"Loop 2_Flow";"14.03.2022 18:56:11";0;1;44634789020,0231
"Loop 3_Flow";"14.03.2022 18:56:11";0;1;44634789020,0231
"Loop 1_Flow";"14.03.2022 19:01:11";0;1;44634792485,7523
"Loop 2_Flow";"14.03.2022 19:01:11";0;1;44634792485,7639
"Loop 3_Flow";"14.03.2022 19:01:11";0;1;44634792485,7639
"Loop 1_Flow";"14.03.2022 19:06:11";0;1;44634795957,662
"Loop 2_Flow";"14.03.2022 19:06:11";0;1;44634795957,662
"Loop 3_Flow";"14.03.2022 19:06:11";0;1;44634795957,662
"Loop 1_Flow";"14.03.2022 19:11:11";0;1;44634799429,5602
"Loop 2_Flow";"14.03.2022 19:11:11";0;1;44634799429,5602
"Loop 3_Flow";"14.03.2022 19:11:11";0;1;44634799429,5602
"Loop 1_Flow";"14.03.2022 19:16:11";0;1;44634802902,6157
"Loop 2_Flow";"14.03.2022 19:16:11";0;1;44634802902,6273
"Loop 3_Flow";"14.03.2022 19:16:11";0;1;44634802902,6273
"Loop 1_Flow";"14.03.2022 19:21:11";0;1;44634806374,5139
