VarName;TimeString;VarValue;Validity;Time_ms
pH Loop 1;14.03.2022 15:56:12;8,210847;1;44634664023
pH Loop 2;14.03.2022 15:56:12;8,268963;1;44634664023
pH Loop 3;14.03.2022 15:56:12;8,217988;1;44634664023
pH Loop 1;14.03.2022 16:01:12;8,210236;1;44634667496
pH Loop 2;14.03.2022 16:01:12;8,270164;1;44634667496
pH Loop 3;14.03.2022 16:01:12;8,076378;1;44634667496
pH Loop 1;14.03.2022 16:06:12;8,209492;1;44634670968
pH Loop 2;14.03.2022 16:06:12;8,043837;1;44634670968
pH Loop 3;14.03.2022 16:06:12;8,12377;1;44634670968
pH Loop 1;14.03.2022 16:11:12;8,209141;1;44634674440
pH Loop 2;14.03.2022 16:11:12;8,09044;1;44634674440
pH Loop 3;14.03.2022 16:11:12;8,151077;1;44634674440
pH Loop 1;14.03.2022 16:16:12;8,205873;1;44634677912
pH Loop 2;14.03.2022 16:16:12;8,118165;1;44634677912
pH Loop 3;14.03.2022 16:16:12;8,168093;1;44634677912
pH Loop 1;14.03.2022 16:21:12;8,20228;1;44634681385
pH Loop 2;14.03.2022 16:21:12;8,135706;1;44634681385
pH Loop 3;14.03.2022 16:21:12;8,184896;1;44634681385
pH Loop 1;14.03.2022 16:26:12;8,200931;1;44634684857
pH Loop 2;14.03.2022 16:26:12;8,152434;1;44634684857
pH Loop 3;14.03.2022 16:26:12;8,197403;1;44634684857
pH Loop 1;14.03.2022 16:31:12;8,171331;1;44634688329
pH Loop 2;14.03.2022 16:31:12;8,161633;1;44634688329
pH Loop 3;14.03.2022 16:31:12;8,211116;1;44634688329
pH Loop 1;14.03.2022 16:36:12;8,152356;1;44634691802
pH Loop 2;14.03.2022 16:36:12;8,175854;1;44634691802
pH Loop 3;14.03.2022 16:36:12;8,221958;1;44634691802
pH Loop 1;14.03.2022 16:41:12;8,146917;1;44634695274
pH Loop 2;14.03.2022 16:41:12;8,185822;1;44634695274
pH Loop 3;14.03.2022 16:41:12;8,227583;1;44634695274
pH Loop 1;14.03.2022 16:46:12;8,141829;1;44634698746
pH Loop 2;14.03.2022 16:46:12;8,196259;1;44634698746
pH Loop 3;14.03.2022 16:46:12;8,239443;1;44634698746
pH Loop 1;14.03.2022 16:51:12;8,140429;1;44634702218
pH Loop 2;14.03.2022 16:51:12;8,205156;1;44634702218
pH Loop 3;14.03.2022 16:51:12;8,248915;1;44634702218
pH Loop 1;14.03.2022 16:56:12;8,143562;1;44634705691
pH Loop 2;14.03.2022 16:56:12;8,214169;1;44634705691
pH Loop 3;14.03.2022 16:56:12;8,255172;1;44634705691
pH Loop 1;14.03.2022 17:01:11;8,141494;1;44634709155
pH Loop 2;14.03.2022 17:01:11;8,223585;1;44634709155
pH Loop 3;14.03.2022 17:01:11;8,264469;1;44634709155
pH Loop 1;14.03.2022 17:06:11;8,148277;1;44634712627
pH Loop 2;14.03.2022 17:06:11;8,227044;1;44634712627
pH Loop 3;14.03.2022 17:06:11;8,268717;1;44634712627
pH Loop 1;14.03.2022 17:11:11;8,153788;1;44634716100
pH Loop 2;14.03.2022 17:11:11;8,210125;1;44634716100
pH Loop 3;14.03.2022 17:11:11;8,248902;1;44634716100
pH Loop 1;14.03.2022 17:16:11;8,156679;1;44634719572
pH Loop 2;14.03.2022 17:16:11;8,222151;1;44634719572
pH Loop 3;14.03.2022 17:16:11;8,231081;1;44634719572
pH Loop 1;14.03.2022 17:21:11;8,029341;1;44634723044
pH Loop 2;14.03.2022 17:21:11;8,22631;1;44634723044
pH Loop 3;14.03.2022 17:21:11;8,262478;1;44634723044
pH Loop 1;14.03.2022 17:26:11;8,062237;1;44634726516
pH Loop 2;14.03.2022 17:26:11;8,202889;1;44634726516
pH Loop 3;14.03.2022 17:26:11;8,258991;1;44634726516
pH Loop 1;14.03.2022 17:31:11;8,06477;1;44634729989
pH Loop 2;14.03.2022 17:31:11;8,196114;1;44634729989
pH Loop 3;14.03.2022 17:31:11;8,238293;1;44634729989
pH Loop 1;14.03.2022 17:36:11;8,074944;1;44634733461
pH Loop 2;14.03.2022 17:36:11;8,196424;1;44634733461
pH Loop 3;14.03.2022 17:36:11;8,225065;1;44634733461
pH Loop 1;14.03.2022 17:41:11;8,058483;1;44634736933
pH Loop 2;14.03.2022 17:41:11;8,193888;1;44634736933
pH Loop 3;14.03.2022 17:41:11;8,218168;1;44634736933
