"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Pressure Loop 1";"14.03.2022 15:56:12";1,627604E-02;1;44634664022,581
"Pressure Loop 2";"14.03.2022 15:56:12";-1,157407E-02;1;44634664022,581
"Pressure Loop 3";"14.03.2022 15:56:12";0,3906773;1;44634664022,581
"Pressure Loop 1";"14.03.2022 16:01:12";1,699942E-02;1;44634667496,2037
"Pressure Loop 2";"14.03.2022 16:01:12";0,3971354;1;44634667496,2037
"Pressure Loop 3";"14.03.2022 16:01:12";0,4618779;1;44634667496,2037
"Pressure Loop 1";"14.03.2022 16:06:12";1,880787E-02;1;44634670968,1134
"Pressure Loop 2";"14.03.2022 16:06:12";0,4539207;1;44634670968,1134
"Pressure Loop 3";"14.03.2022 16:06:12";0,4579212;1;44634670968,1134
"Pressure Loop 1";"14.03.2022 16:11:12";1,808449E-02;1;44634674440,0116
"Pressure Loop 2";"14.03.2022 16:11:12";0,4597077;1;44634674440,0116
"Pressure Loop 3";"14.03.2022 16:11:12";0,4582608;1;44634674440,0116
"Pressure Loop 1";"14.03.2022 16:16:12";1,844618E-02;1;44634677911,9097
"Pressure Loop 2";"14.03.2022 16:16:12";0,4604311;1;44634677911,9097
"Pressure Loop 3";"14.03.2022 16:16:12";0,4599338;1;44634677911,9097
"Pressure Loop 1";"14.03.2022 16:21:12";1,880787E-02;1;44634681384,9769
"Pressure Loop 2";"14.03.2022 16:21:12";0,4600694;1;44634681384,9769
"Pressure Loop 3";"14.03.2022 16:21:12";0,4627705;1;44634681384,9769
"Pressure Loop 1";"14.03.2022 16:26:12";1,989294E-02;1;44634684856,875
"Pressure Loop 2";"14.03.2022 16:26:12";0,4597077;1;44634684856,875
"Pressure Loop 3";"14.03.2022 16:26:12";0,466673;1;44634684856,875
"Pressure Loop 1";"14.03.2022 16:31:12";1,989294E-02;1;44634688328,7963
"Pressure Loop 2";"14.03.2022 16:31:12";0,4647714;1;44634688328,7963
"Pressure Loop 3";"14.03.2022 16:31:12";0,4616691;1;44634688328,7963
"Pressure Loop 1";"14.03.2022 16:36:12";1,808449E-02;1;44634691801,8634
"Pressure Loop 2";"14.03.2022 16:36:12";0,4615162;1;44634691801,8634
"Pressure Loop 3";"14.03.2022 16:36:12";0,4650822;1;44634691801,8634
"Pressure Loop 1";"14.03.2022 16:41:12";1,989294E-02;1;44634695273,7616
"Pressure Loop 2";"14.03.2022 16:41:12";0,4651331;1;44634695273,7616
"Pressure Loop 3";"14.03.2022 16:41:12";0,4631438;1;44634695273,7616
"Pressure Loop 1";"14.03.2022 16:46:12";2,025463E-02;1;44634698745,6829
"Pressure Loop 2";"14.03.2022 16:46:12";0,4651331;1;44634698745,6829
"Pressure Loop 3";"14.03.2022 16:46:12";0,4649579;1;44634698745,6829
"Pressure Loop 1";"14.03.2022 16:51:12";1,844618E-02;1;44634702217,581
"Pressure Loop 2";"14.03.2022 16:51:12";0,462963;1;44634702217,581
"Pressure Loop 3";"14.03.2022 16:51:12";0,4654948;1;44634702217,581
"Pressure Loop 1";"14.03.2022 16:56:12";1,844618E-02;1;44634705690,6482
"Pressure Loop 2";"14.03.2022 16:56:12";0,4615162;1;44634705690,6482
"Pressure Loop 3";"14.03.2022 16:56:12";0,4655833;1;44634705690,6482
"Pressure Loop 1";"14.03.2022 17:01:11";2,459491E-02;1;44634709155,2315
"Pressure Loop 2";"14.03.2022 17:01:11";0,4636863;1;44634709155,2315
"Pressure Loop 3";"14.03.2022 17:01:11";0,465489;1;44634709155,2315
"Pressure Loop 1";"14.03.2022 17:06:11";2,097801E-02;1;44634712627,2106
"Pressure Loop 2";"14.03.2022 17:06:11";0,3526476;1;44634712627,2106
"Pressure Loop 3";"14.03.2022 17:06:11";0,3668907;1;44634712627,2106
"Pressure Loop 1";"14.03.2022 17:11:11";2,025463E-02;1;44634716099,9421
"Pressure Loop 2";"14.03.2022 17:11:11";0,3537326;1;44634716099,9421
"Pressure Loop 3";"14.03.2022 17:11:11";0,3691292;1;44634716099,9421
"Pressure Loop 1";"14.03.2022 17:16:11";0,2846499;1;44634719571,8403
"Pressure Loop 2";"14.03.2022 17:16:11";0,2224392;1;44634719571,8403
"Pressure Loop 3";"14.03.2022 17:16:11";0,3692284;1;44634719571,8403
"Pressure Loop 1";"14.03.2022 17:21:11";0,5146846;1;44634723043,75
"Pressure Loop 2";"14.03.2022 17:21:11";1,519097E-02;1;44634723043,75
"Pressure Loop 3";"14.03.2022 17:21:11";0,1815459;1;44634723043,75
"Pressure Loop 1";"14.03.2022 17:26:11";0,4763455;1;44634726515,6713
"Pressure Loop 2";"14.03.2022 17:26:11";1,265914E-02;1;44634726515,6713
"Pressure Loop 3";"14.03.2022 17:26:11";-3,557552E-02;1;44634726515,6713
"Pressure Loop 1";"14.03.2022 17:31:11";0,4748988;1;44634729988,7384
"Pressure Loop 2";"14.03.2022 17:31:11";-2,170139E-02;1;44634729988,7384
"Pressure Loop 3";"14.03.2022 17:31:11";-2,903248E-02;1;44634729988,7384
"Pressure Loop 1";"14.03.2022 17:36:11";0,088614;1;44634733460,6481
"Pressure Loop 2";"14.03.2022 17:36:11";-2,061632E-02;1;44634733460,6481
"Pressure Loop 3";"14.03.2022 17:36:11";-2,819982E-02;1;44634733460,6481
"Pressure Loop 1";"14.03.2022 17:41:11";0,1229745;1;44634736932,5463
"Pressure Loop 2";"14.03.2022 17:41:11";-1,338252E-02;1;44634736932,5463
"Pressure Loop 3";"14.03.2022 17:41:11";-2,260275E-02;1;44634736932,5463
"Pressure Loop 1";"14.03.2022 17:46:11";2,025463E-02;1;44634740405,6134
"Pressure Loop 2";"14.03.2022 17:46:11";-1,338252E-02;1;44634740405,6134
"Pressure Loop 3";"14.03.2022 17:46:11";-2,441319E-02;1;44634740405,6134
"Pressure Loop 1";"14.03.2022 17:51:11";2,531829E-03;1;44634743877,5116
"Pressure Loop 2";"14.03.2022 17:51:11";-1,374421E-02;1;44634743877,5116
"Pressure Loop 3";"14.03.2022 17:51:11";-2,477682E-02;1;44634743877,5116
"Pressure Loop 1";"14.03.2022 17:56:11";3,978588E-03;1;44634747349,4097
"Pressure Loop 2";"14.03.2022 17:56:11";-1,338252E-02;1;44634747349,4097
"Pressure Loop 3";"14.03.2022 17:56:11";-2,438051E-02;1;44634747349,4097
"Pressure Loop 1";"14.03.2022 18:01:11";3,978588E-03;1;44634750825,6019
"Pressure Loop 2";"14.03.2022 18:01:11";-1,555266E-02;1;44634750825,6019
"Pressure Loop 3";"14.03.2022 18:01:11";-2,529568E-02;1;44634750825,6019
"Pressure Loop 1";"14.03.2022 18:06:11";3,978588E-03;1;44634754298,669
"Pressure Loop 2";"14.03.2022 18:06:11";-0,0141059;1;44634754298,669
"Pressure Loop 3";"14.03.2022 18:06:11";-2,459773E-02;1;44634754298,669
"Pressure Loop 1";"14.03.2022 18:11:11";3,616898E-03;1;44634757770,5671
"Pressure Loop 2";"14.03.2022 18:11:11";-1,627604E-02;1;44634757770,5671
"Pressure Loop 3";"14.03.2022 18:11:11";-2,522786E-02;1;44634757770,5671
"Pressure Loop 1";"14.03.2022 18:16:11";3,616898E-03;1;44634761242,4653
