"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Temp 1 Loop 1";"14.03.2022 15:56:12";20,07379;1;44634664022,5694
"Loop 1_Temperature_002";"14.03.2022 15:56:12";25,7;1;44634664022,5694
"Temp 3 Loop 1";"14.03.2022 15:56:12";20,63802;1;44634664022,5694
"Loop 2_Temperature_002";"14.03.2022 15:56:12";25,1;1;44634664022,5694
"Temp 3 Loop 2";"14.03.2022 15:56:12";20,35229;1;44634664022,5694
"Temp 1 Loop 3";"14.03.2022 15:56:12";8,807147;1;44634664022,5694
"Loop 3_Temperature_002";"14.03.2022 15:56:12";10,3;1;44634664022,581
"Temp 3 Loop 3";"14.03.2022 15:56:12";9,566695;1;44634664022,581
"Temp 1 Loop 2";"14.03.2022 15:56:12";19,8423;1;44634664022,581
"Temp 1 Loop 1";"14.03.2022 16:01:12";20,04123;1;44634667496,1921
"Loop 1_Temperature_002";"14.03.2022 16:01:12";26,3;1;44634667496,1921
"Temp 3 Loop 1";"14.03.2022 16:01:12";20,61632;1;44634667496,1921
"Loop 2_Temperature_002";"14.03.2022 16:01:12";10,1;1;44634667496,1921
"Temp 3 Loop 2";"14.03.2022 16:01:12";9,194155;1;44634667496,1921
"Temp 1 Loop 3";"14.03.2022 16:01:12";10,42752;1;44634667496,1921
"Loop 3_Temperature_002";"14.03.2022 16:01:12";11,2;1;44634667496,1921
"Temp 3 Loop 3";"14.03.2022 16:01:12";10,66985;1;44634667496,2037
"Temp 1 Loop 2";"14.03.2022 16:01:12";8,525029;1;44634667496,2037
"Temp 1 Loop 1";"14.03.2022 16:06:12";20,0123;1;44634670968,1018
"Loop 1_Temperature_002";"14.03.2022 16:06:12";27,1;1;44634670968,1018
"Temp 3 Loop 1";"14.03.2022 16:06:12";20,51505;1;44634670968,1018
"Loop 2_Temperature_002";"14.03.2022 16:06:12";10,8;1;44634670968,1018
"Temp 3 Loop 2";"14.03.2022 16:06:12";10,27199;1;44634670968,1018
"Temp 1 Loop 3";"14.03.2022 16:06:12";10,53241;1;44634670968,1018
"Loop 3_Temperature_002";"14.03.2022 16:06:12";11,2;1;44634670968,1018
"Temp 3 Loop 3";"14.03.2022 16:06:12";10,57219;1;44634670968,1134
"Temp 1 Loop 2";"14.03.2022 16:06:12";10,04413;1;44634670968,1134
"Temp 1 Loop 1";"14.03.2022 16:11:12";19,91826;1;44634674440
"Loop 1_Temperature_002";"14.03.2022 16:11:12";27,7;1;44634674440
"Temp 3 Loop 1";"14.03.2022 16:11:12";20,42101;1;44634674440
"Loop 2_Temperature_002";"14.03.2022 16:11:12";11;1;44634674440
"Temp 3 Loop 2";"14.03.2022 16:11:12";10,35156;1;44634674440
"Temp 1 Loop 3";"14.03.2022 16:11:12";10,70963;1;44634674440
"Loop 3_Temperature_002";"14.03.2022 16:11:12";11,4;1;44634674440
"Temp 3 Loop 3";"14.03.2022 16:11:12";10,80006;1;44634674440,0116
"Temp 1 Loop 2";"14.03.2022 16:11:12";10,1454;1;44634674440,0116
"Temp 1 Loop 1";"14.03.2022 16:16:12";19,90017;1;44634677911,8981
"Loop 1_Temperature_002";"14.03.2022 16:16:12";28,2;1;44634677911,8981
"Temp 3 Loop 1";"14.03.2022 16:16:12";20,21846;1;44634677911,8981
"Loop 2_Temperature_002";"14.03.2022 16:16:12";11,2;1;44634677911,8981
"Temp 3 Loop 2";"14.03.2022 16:16:12";10,51794;1;44634677911,8981
"Temp 1 Loop 3";"14.03.2022 16:16:12";11,02431;1;44634677911,8981
"Loop 3_Temperature_002";"14.03.2022 16:16:12";11,6;1;44634677911,8981
"Temp 3 Loop 3";"14.03.2022 16:16:12";11,05324;1;44634677911,9097
"Temp 1 Loop 2";"14.03.2022 16:16:12";10,4239;1;44634677911,9097
"Temp 1 Loop 1";"14.03.2022 16:21:12";19,80252;1;44634681384,9653
"Loop 1_Temperature_002";"14.03.2022 16:21:12";28,6;1;44634681384,9653
"Temp 3 Loop 1";"14.03.2022 16:21:12";20,00868;1;44634681384,9653
"Loop 2_Temperature_002";"14.03.2022 16:21:12";11,4;1;44634681384,9653
"Temp 3 Loop 2";"14.03.2022 16:21:12";10,73495;1;44634681384,9653
"Temp 1 Loop 3";"14.03.2022 16:21:12";11,20515;1;44634681384,9653
"Loop 3_Temperature_002";"14.03.2022 16:21:12";11,8;1;44634681384,9653
"Temp 3 Loop 3";"14.03.2022 16:21:12";11,25579;1;44634681384,9769
"Temp 1 Loop 2";"14.03.2022 16:21:12";10,70602;1;44634681384,9769
"Temp 1 Loop 1";"14.03.2022 16:26:12";19,71933;1;44634684856,8634
"Loop 1_Temperature_002";"14.03.2022 16:26:12";28,9;1;44634684856,8634
"Temp 3 Loop 1";"14.03.2022 16:26:12";19,91464;1;44634684856,8634
"Loop 2_Temperature_002";"14.03.2022 16:26:12";11,5;1;44634684856,8634
"Temp 3 Loop 2";"14.03.2022 16:26:12";10,92665;1;44634684856,8634
"Temp 1 Loop 3";"14.03.2022 16:26:12";11,40408;1;44634684856,8634
"Loop 3_Temperature_002";"14.03.2022 16:26:12";12;1;44634684856,8634
"Temp 3 Loop 3";"14.03.2022 16:26:12";11,46557;1;44634684856,875
"Temp 1 Loop 2";"14.03.2022 16:26:12";10,81814;1;44634684856,875
"Temp 1 Loop 1";"14.03.2022 16:31:12";19,65061;1;44634688328,7847
"Loop 1_Temperature_002";"14.03.2022 16:31:12";29,1;1;44634688328,7847
"Temp 3 Loop 1";"14.03.2022 16:31:12";19,8206;1;44634688328,7847
"Loop 2_Temperature_002";"14.03.2022 16:31:12";11,7;1;44634688328,7847
"Temp 3 Loop 2";"14.03.2022 16:31:12";11,14005;1;44634688328,7847
"Temp 1 Loop 3";"14.03.2022 16:31:12";11,67535;1;44634688328,7963
"Loop 3_Temperature_002";"14.03.2022 16:31:12";12,2;1;44634688328,7963
"Temp 3 Loop 3";"14.03.2022 16:31:12";11,65365;1;44634688328,7963
"Temp 1 Loop 2";"14.03.2022 16:31:12";10,97729;1;44634688328,7963
"Temp 1 Loop 1";"14.03.2022 16:36:12";19,57827;1;44634691801,8518
"Loop 1_Temperature_002";"14.03.2022 16:36:12";29,3;1;44634691801,8518
"Temp 3 Loop 1";"14.03.2022 16:36:12";19,66508;1;44634691801,8518
"Loop 2_Temperature_002";"14.03.2022 16:36:12";11,9;1;44634691801,8518
"Temp 3 Loop 2";"14.03.2022 16:36:12";11,32089;1;44634691801,8518
"Temp 1 Loop 3";"14.03.2022 16:36:12";11,79471;1;44634691801,8518
"Loop 3_Temperature_002";"14.03.2022 16:36:12";12,4;1;44634691801,8518
"Temp 3 Loop 3";"14.03.2022 16:36:12";11,85619;1;44634691801,8634
"Temp 1 Loop 2";"14.03.2022 16:36:12";11,17983;1;44634691801,8634
"Temp 1 Loop 1";"14.03.2022 16:41:12";19,52402;1;44634695273,75
"Loop 1_Temperature_002";"14.03.2022 16:41:12";29,5;1;44634695273,75
"Temp 3 Loop 1";"14.03.2022 16:41:12";19,59636;1;44634695273,75
"Loop 2_Temperature_002";"14.03.2022 16:41:12";12,1;1;44634695273,75
"Temp 3 Loop 2";"14.03.2022 16:41:12";11,50174;1;44634695273,75
"Temp 1 Loop 3";"14.03.2022 16:41:12";12,03342;1;44634695273,75
"Loop 3_Temperature_002";"14.03.2022 16:41:12";12,6;1;44634695273,75
"Temp 3 Loop 3";"14.03.2022 16:41:12";12,00087;1;44634695273,7616
"Temp 1 Loop 2";"14.03.2022 16:41:12";11,41131;1;44634695273,7616
"Temp 1 Loop 1";"14.03.2022 16:46:12";19,477;1;44634698745,6713
"Loop 1_Temperature_002";"14.03.2022 16:46:12";29,7;1;44634698745,6713
"Temp 3 Loop 1";"14.03.2022 16:46:12";19,53848;1;44634698745,6713
"Loop 2_Temperature_002";"14.03.2022 16:46:12";12,2;1;44634698745,6713
"Temp 3 Loop 2";"14.03.2022 16:46:12";11,65365;1;44634698745,6713
"Temp 1 Loop 3";"14.03.2022 16:46:12";12,14554;1;44634698745,6713
"Loop 3_Temperature_002";"14.03.2022 16:46:12";12,7;1;44634698745,6713
"Temp 3 Loop 3";"14.03.2022 16:46:12";12,17086;1;44634698745,6829
"Temp 1 Loop 2";"14.03.2022 16:46:12";11,58131;1;44634698745,6829
"Temp 1 Loop 1";"14.03.2022 16:51:12";19,41189;1;44634702217,5694
"Loop 1_Temperature_002";"14.03.2022 16:51:12";30;1;44634702217,5694
"Temp 3 Loop 1";"14.03.2022 16:51:12";19,42274;1;44634702217,5694
"Loop 2_Temperature_002";"14.03.2022 16:51:12";12,4;1;44634702217,5694
"Temp 3 Loop 2";"14.03.2022 16:51:12";11,83811;1;44634702217,581
"Temp 1 Loop 3";"14.03.2022 16:51:12";12,39873;1;44634702217,581
"Loop 3_Temperature_002";"14.03.2022 16:51:12";12,9;1;44634702217,581
"Temp 3 Loop 3";"14.03.2022 16:51:12";12,35171;1;44634702217,581
"Temp 1 Loop 2";"14.03.2022 16:51:12";11,74045;1;44634702217,581
"Temp 1 Loop 1";"14.03.2022 16:56:12";19,39742;1;44634705690,6366
"Loop 1_Temperature_002";"14.03.2022 16:56:12";30,2;1;44634705690,6366
"Temp 3 Loop 1";"14.03.2022 16:56:12";19,36126;1;44634705690,6366
"Loop 2_Temperature_002";"14.03.2022 16:56:12";12,6;1;44634705690,6366
"Temp 3 Loop 2";"14.03.2022 16:56:12";11,97555;1;44634705690,6366
"Temp 1 Loop 3";"14.03.2022 16:56:12";12,50362;1;44634705690,6366
"Loop 3_Temperature_002";"14.03.2022 16:56:12";13,1;1;44634705690,6366
"Temp 3 Loop 3";"14.03.2022 16:56:12";12,52532;1;44634705690,6366
"Temp 1 Loop 2";"14.03.2022 16:56:12";11,88513;1;44634705690,6482
"Temp 1 Loop 1";"14.03.2022 17:01:11";19,34317;1;44634709155,2199
"Loop 1_Temperature_002";"14.03.2022 17:01:11";30,3;1;44634709155,2199
"Temp 3 Loop 1";"14.03.2022 17:01:11";19,2853;1;44634709155,2199
"Loop 2_Temperature_002";"14.03.2022 17:01:11";12,7;1;44634709155,2199
"Temp 3 Loop 2";"14.03.2022 17:01:11";12,13831;1;44634709155,2199
"Temp 1 Loop 3";"14.03.2022 17:01:11";12,66276;1;44634709155,2199
"Loop 3_Temperature_002";"14.03.2022 17:01:11";13,2;1;44634709155,2199
"Temp 3 Loop 3";"14.03.2022 17:01:11";12,69531;1;44634709155,2199
"Temp 1 Loop 2";"14.03.2022 17:01:11";12,06597;1;44634709155,2315
"Temp 1 Loop 1";"14.03.2022 17:06:11";19,30339;1;44634712627,1991
"Loop 1_Temperature_002";"14.03.2022 17:06:11";30,4;1;44634712627,1991
"Temp 3 Loop 1";"14.03.2022 17:06:11";19,21296;1;44634712627,1991
"Loop 2_Temperature_002";"14.03.2022 17:06:11";13,7;1;44634712627,1991
"Temp 3 Loop 2";"14.03.2022 17:06:11";12,32639;1;44634712627,1991
"Temp 1 Loop 3";"14.03.2022 17:06:11";13,00636;1;44634712627,1991
"Loop 3_Temperature_002";"14.03.2022 17:06:11";14,2;1;44634712627,1991
"Temp 3 Loop 3";"14.03.2022 17:06:11";12,82914;1;44634712627,2106
"Temp 1 Loop 2";"14.03.2022 17:06:11";12,50723;1;44634712627,2106
"Temp 1 Loop 1";"14.03.2022 17:11:11";19,24552;1;44634716099,9306
"Loop 1_Temperature_002";"14.03.2022 17:11:11";30,5;1;44634716099,9306
"Temp 3 Loop 1";"14.03.2022 17:11:11";19,1985;1;44634716099,9306
"Loop 2_Temperature_002";"14.03.2022 17:11:11";14,1;1;44634716099,9306
"Temp 3 Loop 2";"14.03.2022 17:11:11";12,39511;1;44634716099,9306
"Temp 1 Loop 3";"14.03.2022 17:11:11";13,46571;1;44634716099,9306
